Layer,Head,Impact,SNR,P_val
7,8,0.0,-0.2200458971961246,0.9999999999968172
7,11,0.0,-0.49118661882286224,1.0
7,12,0.0,-0.17886236067447916,0.9999999897334336
7,14,0.0,-0.22412948602187507,0.9999999999986802
7,15,0.0,-0.18752365123209805,0.9999999978787524
7,16,0.0,-0.21212350013219083,0.9999999999831347
7,17,0.0,-0.17586311452816475,0.9999999825460378
7,19,0.0,-0.1788623606744792,0.9999999897334336
8,0,0.0,-0.23798033206501648,0.9999999999999399
8,1,0.0,-0.2387939107643631,0.9999999999999502
8,2,0.0,-0.4313084062393222,1.0
8,3,0.0,-0.13150664608837076,0.9999824587776579
8,4,0.0,-0.1902650613361553,0.9999999987297503
8,5,0.022505189481293205,-0.7597838227288708,1.0
8,6,0.0,-0.2342001222447736,0.9999999999998582
8,7,0.0,-0.14998295745037957,0.9999987794522289
8,8,0.0,-0.6826126985714125,1.0
8,9,0.0,-0.36572030342846346,1.0
8,11,0.0,-0.12751534261266764,0.9999700403692003
8,12,0.0,-0.18473268089846429,0.9999999964486875
8,13,0.0,-0.2074228618564834,0.999999999955772
8,14,0.0,-0.22598035025190322,0.9999999999991185
8,16,0.0,-0.32322600259651807,1.0
8,17,0.0,-0.2736495619453939,1.0
8,18,0.0,-0.13538810472195728,0.9999897202005871
9,0,0.0,-0.2388454404140523,0.9999999999999507
9,1,0.0,-0.20289201988764283,0.9999999998899752
9,2,0.01760768263710907,-0.21179951713409645,0.9999999999819651
9,3,0.0,-0.33325715598910116,1.0
9,4,0.015674369725549454,-1.4230385282334546,1.0
9,5,0.0,-0.44762187485651345,1.0
9,6,0.016651063242012824,-0.4637309160981835,1.0
9,8,0.0,-0.17281816283231746,0.9999999703279503
9,10,0.0,-0.25894621654625277,0.9999999999999996
9,11,0.0,-0.23763600491754833,0.999999999999935
9,12,0.0,-0.16237052477324898,0.9999998278385304
9,14,0.0,-0.2234969317158746,0.999999999998486
9,15,0.0,-0.2374186297637585,0.9999999999999317
9,16,0.0,-0.1697250257391052,0.9999999495570391
